*Node coordinates
*node i, xi, yi, zi
    574,   1.39999998,  0.600000024,           0.
    575,   1.29999995,  0.600000024,           0.
    576,   1.20000005,  0.600000024,           0.
    577,   1.10000002,  0.600000024,           0.
    578,           1.,  0.600000024,           0.
    579,  0.899999976,  0.600000024,           0.
    580,  0.800000012,  0.600000024,           0.
    581,  0.699999988,  0.600000024,           0.
    582,  0.600000024,  0.600000024,           0.
    583,          0.5,  0.600000024,           0.
    584,  0.400000006,  0.600000024,           0.
    585,  0.300000012,  0.600000024,           0.
    586,  0.200000003,  0.600000024,           0.
    587,  0.100000001,  0.600000024,           0.
    588,           0.,  0.600000024,           0.
    589,           2.,  0.699999988,         0.25
    590,   1.89999998,  0.699999988,         0.25
    591,   1.79999995,  0.699999988,         0.25
    592,   1.70000005,  0.699999988,         0.25
    593,   1.60000002,  0.699999988,         0.25
    594,          1.5,  0.699999988,         0.25
    595,   1.39999998,  0.699999988,         0.25
    596,   1.29999995,  0.699999988,         0.25
    597,   1.20000005,  0.699999988,         0.25
    598,   1.10000002,  0.699999988,         0.25
    599,           1.,  0.699999988,         0.25
    600,  0.899999976,  0.699999988,         0.25
    601,  0.800000012,  0.699999988,         0.25
    602,  0.699999988,  0.699999988,         0.25
    603,  0.600000024,  0.699999988,         0.25
    604,          0.5,  0.699999988,         0.25
    605,  0.400000006,  0.699999988,         0.25
    606,  0.300000012,  0.699999988,         0.25
    607,  0.200000003,  0.699999988,         0.25
    608,  0.100000001,  0.699999988,         0.25
    609,           0.,  0.699999988,         0.25
    610,           2.,  0.699999988,  0.166666672
    611,   1.89999998,  0.699999988,  0.166666672
    612,   1.79999995,  0.699999988,  0.166666672
    613,   1.70000005,  0.699999988,  0.166666672
    614,   1.60000002,  0.699999988,  0.166666672
    615,          1.5,  0.699999988,  0.166666672
    616,   1.39999998,  0.699999988,  0.166666672
    617,   1.29999995,  0.699999988,  0.166666672
    618,   1.20000005,  0.699999988,  0.166666672
    619,   1.10000002,  0.699999988,  0.166666672
    620,           1.,  0.699999988,  0.166666672
    621,  0.899999976,  0.699999988,  0.166666672
    622,  0.800000012,  0.699999988,  0.166666672
    623,  0.699999988,  0.699999988,  0.166666672
    624,  0.600000024,  0.699999988,  0.166666672
    625,          0.5,  0.699999988,  0.166666672
    626,  0.400000006,  0.699999988,  0.166666672
    627,  0.300000012,  0.699999988,  0.166666672
    628,  0.200000003,  0.699999988,  0.166666672
    629,  0.100000001,  0.699999988,  0.166666672
    630,           0.,  0.699999988,  0.166666672
    631,           2.,  0.699999988, 0.0833333358
    632,   1.89999998,  0.699999988, 0.0833333358
    633,   1.79999995,  0.699999988, 0.0833333358
    634,   1.70000005,  0.699999988, 0.0833333358
    635,   1.60000002,  0.699999988, 0.0833333358
    636,          1.5,  0.699999988, 0.0833333358
    637,   1.39999998,  0.699999988, 0.0833333358
    638,   1.29999995,  0.699999988, 0.0833333358
    639,   1.20000005,  0.699999988, 0.0833333358
    640,   1.10000002,  0.699999988, 0.0833333358
